,min_timestamp,max_timestamp,med_timestamp,mean_timestamp,min_gas,max_gas,med_gas,mean_gas,out_count,min_outgoing_priceETH,max_outgoing_priceETH,med_outgoing_priceETH,mean_outgoing_priceETH,in_count,min_incoming_priceETH,max_incoming_priceETH,med_incoming_priceETH,mean_incoming_priceETH,address,label
64894,1.648531289e+18,1.649530572e+18,1.6488037755e+18,1.648891465888889e+18,183551.0,212607.0,200687.0,199827.5,18.0,1.000000045813705e-18,2.00000009162741e-18,1.000000045813705e-18,1.0555556671018743e-18,,,,,,0xe16a3dc139d884060c31b149bf977b8975472d7c,None
1874,1.649412052e+18,1.649412052e+18,1.649412052e+18,1.649412052e+18,169830.0,169830.0,169830.0,169830.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x0686dc34ea7a96305563a1357ac55f4e31b067f6,None
58960,1.649121034e+18,1.649121034e+18,1.649121034e+18,1.649121034e+18,177810.0,177810.0,177810.0,177810.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xccee06faebc9ce02263e4735048e4823b03449f9,None
83562,,,,,,,,,,,,,,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x3d23e90ee73406e98bd18f6cc2e1924b2d77dfed,None
112685,,,,,,,,,,,,,,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xf481db34ed8844ce98ce339c5fd01ef8d4261955,None
44487,1.648689402e+18,1.648924368e+18,1.6488479345e+18,1.64882740975e+18,213179.0,237451.0,227205.5,226260.25,4.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x9ad2626745505969548b44b75d0ddc5ab588e95b,None
72954,1.649355641e+18,1.649355641e+18,1.649355641e+18,1.649355641e+18,199158.0,199158.0,199158.0,199158.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xfda162c820307c0fa93c535cfc2772334f8eb1bf,None
100623,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xa81d9ae27cbe04a761d375df8252f7abb8f925fe,None
110779,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xe80c93de19be0967ee791afbf5df2cb507e85bd7,None
71650,1.649283584e+18,1.649349043e+18,1.6493163135e+18,1.6493163135e+18,87810.0,101490.0,94650.0,94650.0,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xf9154bd7a045291347a1da2e4665e01d6881f545,None
64028,1.648921561e+18,1.648921561e+18,1.648921561e+18,1.648921561e+18,65040.0,65040.0,65040.0,65040.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xde744d193b12fb935d1918f48f3ecf64541d3cf5,None
113954,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xfc9eef917e450c993264b9254094cf79ec5af623,None
113983,,,,,,,,,,,,,,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xfcdf9a8970b0112101991df83d8be433d21d0c57,None
82974,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x398367fe26fd714f80b398f8102e0c54817eb7b6,None
42004,1.649076646e+18,1.649076646e+18,1.649076646e+18,1.649076646e+18,199134.0,199134.0,199134.0,199134.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x925fc4f3ada3a03a92442cba26b77b9a7e170b34,None
67241,1.648676368e+18,1.648676368e+18,1.648676368e+18,1.648676368e+18,199045.0,199045.0,199045.0,199045.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xe9e2d82f969d6e35374d266dae1f1783e5b5fc68,None
44939,1.649399476e+18,1.649399476e+18,1.649399476e+18,1.649399476e+18,195023.0,195023.0,195023.0,195023.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x9c62590cba2ee3a32d565e1fed4bebfe1db338d6,None
3151,1.64857258e+18,1.649266988e+18,1.649179035e+18,1.6490511096666665e+18,180073.0,362728.0,201319.0,216327.5625,9.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x0afd7ec05bfc42bf4b3f60865c2c2221413a95a5,None
7134,1.649308334e+18,1.649308334e+18,1.649308334e+18,1.649308334e+18,101490.0,101490.0,101490.0,101490.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,3.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x18e03ca752dddece01e238af79bb1a21e84f12e9,None
32888,1.648393761e+18,1.648450456e+18,1.6484221085e+18,1.6484221085e+18,221551.0,221611.0,221581.0,221581.0,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x73165cfb56542c58197bb067fff6cea7ce990e0e,None
6878,1.649229295e+18,1.649229295e+18,1.649229295e+18,1.649229295e+18,51902.0,51902.0,51902.0,51902.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x180f86b5e58569a706f9c2c158bc35d234aef4ef,None
88968,,,,,,,,,,,,,,8.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x5e1870f3f6e0603b3cfe26eb4ac9b42ab3ffea03,None
18628,1.648914433e+18,1.648914433e+18,1.648914433e+18,1.648914433e+18,201895.0,201895.0,201895.0,201895.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x4137b9978404a90774d53e79d58b9432969538ef,None
95252,,,,,,,,,,,,,,5.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x86514c7dbe93bb90be7f1562f934cc827a924dd2,None
6210,1.649495296e+18,1.649495296e+18,1.649495296e+18,1.649495296e+18,52490.0,52490.0,52490.0,52490.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x15986cbd3c7969bb212bd7c287d7c0e472b6a042,None
15341,1.648995056e+18,1.648995056e+18,1.648995056e+18,1.648995056e+18,213324.0,213324.0,213324.0,213324.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x35dcec9aa78e65d3e15d4c20036d826d416aa8e7,None
